transaction_id,supplier_id,customer_id,amount,timestamp,is_suspicious,feature_1,feature_2
TXN_000000,S_0037,C_0081,1638.67,2026-01-14T20:55:28.925025,0,0.09992692133794634,-0.043044767681367446
TXN_000001,S_0043,C_0058,4979.05,2026-03-15T15:55:28.925025,0,0.4354870776227965,0.5873219039649291
TXN_000002,S_0011,C_0091,3615.59,2026-01-27T18:55:28.925025,0,0.5793593520292457,0.08918796851470079
TXN_000003,S_0043,C_0052,4983.09,2026-01-24T13:55:28.925025,0,0.40941341946636756,0.22669892596166075
TXN_000004,S_0014,C_0018,2674.84,2026-02-04T19:55:28.925025,0,0.9351949564376704,0.5896671924608139
TXN_000005,S_0020,C_0189,1429.21,2026-03-05T14:55:28.925025,0,0.34681595730327963,-0.6486220154296978
TXN_000006,S_0024,C_0148,2363.81,2026-02-25T19:55:28.925025,0,0.876312982831695,0.9040117462251265
TXN_000007,S_0003,C_0133,3853.46,2026-01-25T11:55:28.925025,0,0.003551496333438542,-0.5340020733811564
TXN_000008,S_0022,C_0100,2647.31,2026-01-25T19:55:28.925025,0,0.40294559713804745,-0.3271518322584559
TXN_000009,S_0035,C_0197,1279.56,2026-02-05T21:55:28.925025,0,0.5845274378162275,-0.92475720248625
TXN_000010,S_0014,C_0067,384.47,2026-03-22T17:55:28.925025,0,0.46879392052465474,-0.6146092273508981
TXN_000011,S_0023,C_0100,4101.9,2026-02-28T16:55:28.925025,0,0.8387310328746231,0.0986792451634475
TXN_000012,S_0042,C_0069,2016.9,2026-03-29T07:55:28.925025,0,0.9687477198638618,0.304094420918549
TXN_000013,S_0013,C_0093,3169.62,2026-02-24T11:55:28.925025,0,0.15195594741308138,-0.6574070702886432
TXN_000014,S_0045,C_0117,1380.34,2026-03-21T23:55:28.925025,0,0.7642674368920838,0.14623484045633695
TXN_000015,S_0006,C_0028,15257.93,2026-01-11T15:55:28.925025,1,0.7642779662838952,0.7600485894823263
TXN_000016,S_0008,C_0196,3168.15,2026-01-05T15:55:28.925025,0,0.5720584214139031,-0.0008898001971804348
TXN_000017,S_0006,C_0144,2691.13,2026-01-10T06:55:28.925025,0,0.8653971106072945,0.7356112440288161
TXN_000018,S_0028,C_0118,4674.62,2026-02-16T05:55:28.925025,0,0.35648661518550484,0.7882600387781111
TXN_000019,S_0031,C_0139,518.53,2026-03-05T09:55:28.925025,0,0.621885796188644,0.8393563600349332
TXN_000020,S_0001,C_0123,248.55,2026-03-22T06:55:28.925025,0,0.18558264425935755,0.6241670183170585
TXN_000021,S_0037,C_0121,4811.04,2026-02-12T01:55:28.925025,0,0.9891153028790746,-0.12322176515845329
TXN_000022,S_0012,C_0124,2979.12,2026-01-09T08:55:28.925025,0,0.6686812527474251,0.6222471297640748
